Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4113532,13.337570621468927,0.36194342,0.3818443804034582,0.3818443804034582,0.18400584,0.24919176,0.00029681323,0.19893773,0.000494795,1.0
20000,1.364672,10.72960372960373,0.6419723,0.6853146853146853,0.6853146853146853,0.076114304,0.24994019,0.00029109156,0.19703053,0.0004854495,1.0
30000,1.3467627,9.889617486338798,0.916263,0.9528508771929824,0.9528508771929824,0.019116182,0.24915,0.0002848783,0.19495943,0.00047530117,1.0
40000,1.3488191,7.641856392294221,0.9607131,0.9965217391304347,0.9965217391304347,0.0022762541,0.2479398,0.00027886475,0.19295488,0.00046547904,1.0
50000,1.324609,6.434102755026061,0.9701459,1.0,1.0,0.000503901,0.24420562,0.0002729349,0.19097832,0.0004557937,1.0
60000,1.3149023,6.044491525423729,0.96896416,0.9971830985915493,0.9971830985915493,0.002547403,0.23816587,0.0002670143,0.18900476,0.00044612325,1.0
70000,1.3012753,5.7645466847090665,0.96962374,0.9986449864498645,0.9986449864498645,0.0014774594,0.23858696,0.0002610027,0.1870009,0.0004363044,1.0
80000,1.2920839,5.663563829787234,0.9711097,0.9986693280106453,0.9986693280106453,0.0014069998,0.2454147,0.0002550062,0.18500206,0.00042651012,1.0
90000,1.2854425,5.548916611950099,0.97088426,0.9954158480681073,0.9954158480681073,0.0019442517,0.23895887,0.00024899063,0.18299687,0.0004166846,1.0
100000,1.3026303,5.7354925775978405,0.9662033,0.9899057873485868,0.9899057873485868,0.0045694625,0.24017239,0.00024301003,0.18100333,0.00040691634,1.0
110000,1.3177303,5.692666666666667,0.96578306,0.9859531772575251,0.9859531772575251,0.005957082,0.24771751,0.00023701446,0.1790048,0.00039712357,1.0
120000,1.3210677,5.822207084468665,0.9518965,0.9645293315143247,0.9645293315143247,0.015797904,0.24274324,0.00023100735,0.17700243,0.0003873119,1.0
130000,1.3300812,5.803144224196855,0.9624544,0.9775204359673024,0.9775204359673024,0.01145896,0.24623954,0.00022495315,0.17498438,0.00037742342,1.0
140000,1.3150727,5.650762094102054,0.96042997,0.9721669980119284,0.9721669980119284,0.011738144,0.24196644,0.00021903234,0.17301078,0.0003677527,1.0
